,words
,70330
car,55707
great,20196
drive,18290
love,14299
like,14268
get,13990
vehicle,12977
mpg,12516
mile,11143
driving,11049
seat,10772
good,10766
one,10741
gas,10487
mileage,10179
ride,9987
better,9062
new,8614
interior,8609
well,8453
would,8346
look,8211
we,8143
fun,7988
much,7815
power,7421
comfortable,7305
bought,7122
back,7100
first,6872
year,6771
got,6728
'',6659
truck,6628
problem,6615
really,6513
time,6504
road,6488
my,6472
far,6462
've,6448
feel,6438
engine,6355
lot,6268
best,5756
'm,5733
highway,5696
little,5663
also,5491
.,5451
price,5401
owned,5388
even,5358
month,5352
feature,5264
room,5155
could,5139
nice,5120
suv,4957
go,4876
smooth,4839
honda,4785
quality,4762
drove,4672
looking,4636
``,4631
fuel,4548
still,4518
system,4451
handling,4445
make,4423
",",4361
buy,4295
getting,4250
trip,4235
test,4214
around,4119
need,4082
fit,4063
performance,4020
handle,3891
toyota,3887
way,3875
wheel,3866
quiet,3841
day,3835
speed,3834
purchased,3810
rear,3804
week,3776
dealer,3669
overall,3651
say,3651
k,3593
excellent,3587
sport,3576
model,3574
-,3498
bmw,3472
thing,3446
wife,3426
many,3407
control,3393
work,3317
every,3316
city,3259
comfort,3229
ca,3178
ever,3169
long,3167
two,3167
never,3166
sound,3152
small,3142
...,3106
tire,3100
front,3076
noise,3066
transmission,3052
easy,3009
think,2999
door,2983
traded,2972
wanted,2960
if,2936
a,2922
want,2917
economy,2899
everything,2895
v,2889
happy,2863
put,2854
take,2850
since,2814
le,2801
plenty,2800
driver,2779
package,2754
very,2752
',2712
mph,2708
steering,2686
last,2672
used,2662
after,2661
space,2635
ford,2632
use,2616
money,2614
design,2604
going,2598
light,2577
inside,2572
big,2541
lexus,2527
people,2520
option,2501
come,2474
right,2426
made,2426
purchase,2421
enough,2377
see,2374
find,2365
so,2343
family,2336
bad,2325
issue,2315
old,2295
acceleration,2283
high,2283
bit,2269
almost,2258
hard,2256
value,2244
driven,2229
luxury,2228
went,2209
recommend,2170
top,2145
took,2143
leather,2130
without,2123
size,2110
sedan,2088
another,2067
no,2057
brake,2046
awesome,2043
radio,2018
side,2016
yet,2001
average,1994
thought,1983
standard,1952
snow,1945
town,1923
found,1918
dealership,1907
mazda,1900
know,1895
second,1881
but,1877
exterior,1877
manual,1876
nissan,1850
civic,1848
perfect,1838
though,1836
always,1832
looked,1824
turn,1814
keep,1813
give,1800
you,1798
something,1794
solid,1756
styling,1744
warranty,1733
there,1729
not,1726
low,1717
however,1708
amazing,1706
review,1705
awd,1697
quite,1691
ago,1691
x,1684
seems,1675
roomy,1674
needed,1673
kid,1672
class,1669
impressed,1667
window,1665
accord,1642
just,1641
came,1641
head,1639
nothing,1630
compared,1626
replaced,1616
trunk,1615
jeep,1598
camry,1596
pretty,1590
tank,1579
fast,1576
passenger,1571
style,1563
especially,1555
gear,1546
in,1537
stereo,1525
s,1520
have,1515
gm,1502
sporty,1496
when,1493
safety,1487
change,1478
auto,1478
cost,1476
row,1476
buying,1473
acura,1469
extra,1466
reliability,1465
extremely,1465
complaint,1462
pleased,1461
sure,1461
experience,1458
build,1450
and,1449
loved,1448
for,1447
van,1435
plus,1431
decided,1419
all,1414
worth,1413
hyundai,1400
finish,1392
real,1379
anyone,1364
suspension,1358
definitely,1354
deal,1345
choice,1334
expected,1331
shift,1330
loaded,1330
audi,1324
black,1318
reliable,1316
stop,1312
wish,1310
u,1309
end,1306
said,1302
cargo,1299
absolutely,1298
etc,1295
large,1275
mercedes,1270
g,1263
anything,1259
nav,1252
they,1251
previous,1249
'll,1248
run,1247
with,1246
start,1246
service,1244
away,1241
actually,1240
several,1229
--,1229
're,1221
already,1220
although,1217
automatic,1216
/,1215
hp,1214
dash,1211
must,1207
air,1201
navigation,1193
others,1191
close,1191
chevy,1188
built,1173
leg,1172
limited,1168
area,1159
hybrid,1149
line,1148
beat,1147
tight,1146
storage,1139
three,1131
averaging,1131
what,1129
winter,1127
rattle,1125
may,1119
dodge,1110
vw,1096
full,1091
easily,1091
cylinder,1091
market,1090
beautiful,1087
believe,1083
enjoy,1082
disappointed,1073
past,1069
part,1060
cyl,1059
poor,1056
cruise,1054
powerful,1053
mine,1049
premium,1047
finally,1041
due,1039
cheap,1038
oil,1024
hit,1023
owner,1021
different,1020
third,1018
as,1017
expect,1016
except,1014
rd,1014
body,1013
next,1013
fantastic,1010
quick,1010
fine,1008
coming,1006
home,1005
tell,999
live,993
per,990
safe,983
brand,979
gallon,976
replace,975
color,971
short,968
highly,968
sunroof,967
wait,962
read,959
only,957
roof,956
glad,951
..,945
traffic,942
else,939
rav,939
everyone,939
th,938
friend,928
sold,928
plastic,922
liked,922
decent,920
responsive,912
expensive,906
wonderful,905
'd,905
at,904
told,901
wrong,896
had,896
done,894
fix,890
cool,889
foot,888
+,888
couple,886
turbo,886
.l,885
heated,883
able,882
four,882
hwy,878
wind,875
bluetooth,875
base,874
i,872
mirror,872
job,867
now,867
huge,867
shop,866
let,862
freeway,861
altima,859
on,856
minivan,855
corolla,854
saturn,854
considering,852
offer,850
torque,849
that,846
felt,846
surprised,841
cvt,840
open,836
recently,835
subaru,833
grand,832
outside,832
mostly,831
forward,830
range,825
set,823
help,816
higher,812
american,809
outstanding,805
try,805
check,797
wo,795
coupe,795
least,793
pilot,793
point,792
seating,792
hour,789
including,788
c,788
fixed,784
infiniti,784
reason,782
do,780
difference,778
available,772
left,763
trade,763
hold,762
regret,759
hand,754
averaged,754
tl,750
started,747
saw,747
smaller,746
research,746
ok,743
dream,735
red,734
nd,733
heavy,730
mixed,730
blue,729
fact,729
corner,729
designed,728
paint,728
spot,728
decision,725
suvs,721
fully,720
lb,720
hope,718
truly,718
husband,717
bigger,716
parking,714
center,714
commute,711
pay,702
gotten,696
mountain,696
upgrade,695
probably,695
wd,694
add,691
lack,689
satisfied,687
fell,685
turning,685
adult,685
added,683
improvement,681
larger,681
crv,680
visibility,680
rpm,678
level,678
series,677
lower,677
se,675
chrysler,673
weather,670
behind,670
volvo,668
major,668
hill,668
improved,666
its,664
life,664
super,662
rating,660
cr-v,660
convertible,659
compare,658
highlander,657
yaris,654
pickup,653
true,652
pull,652
either,649
move,649
making,648
daily,648
stuff,648
a/c,648
pick,647
paid,643
is,642
ipod,639
m,638
flat,636
cabin,634
seem,634
happier,634
mdx,633
shifting,633
sonata,633
kind,632
lots,628
diesel,627
later,626
prius,625
impressive,625
mode,625
cold,624
miss,623
wow,622
gt,621
superb,621
rest,619
key,617
motor,614
kia,614
compliment,613
picked,612
lease,610
guy,609
computer,608
console,607
escape,605
twice,604
xm,603
button,602
chose,602
dvd,601
ton,600
cab,599
e,599
yes,595
running,594
wagon,593
break,593
adequate,593
inch,592
pleasure,591
mind,590
bump,590
seen,590
technology,590
material,589
version,588
park,588
normal,588
maybe,587
owning,586
expectation,586
other,586
half,583
our,583
cd,581
rough,577
knew,577
feeling,575
place,573
simply,573
along,572
fold,572
combined,572
holder,570
care,568
product,566
uncomfortable,565
blast,565
night,562
interstate,560
regular,559
repair,558
previously,557
longer,556
today,555
sharp,554
trim,554
person,553
mb,553
purchasing,553
tow,552
pedal,550
type,550
cx-,549
soon,548
mini,547
tall,547
camera,546
view,546
braking,544
exhaust,543
nicely,542
edge,542
tahoe,541
trouble,540
taking,540
tried,540
six,540
towing,539
fe,538
w/,537
focus,537
minor,537
sticker,537
child,536
z,535
incredible,534
slow,534
traction,534
free,533
stylish,531
gave,531
might,531
noticed,529
using,526
trailer,525
ac,524
crossover,522
buck,522
condition,521
amount,521
instead,521
luxurious,519
touring,519
st,518
panel,518
hear,517
position,517
superior,515
quickly,514
haul,514
taken,513
murano,512
totally,512
spacious,511
factory,511
cadillac,511
comfortably,510
jetta,506
handles,506
attention,506
trying,505
loud,505
gmc,505
ex,504
santa,503
comment,503
while,503
show,502
sometimes,502
practical,501
cup,500
touch,499
odyssey,498
v-,496
shifter,496
noisy,494
none,493
tech,492
dog,491
rock,490
whole,490
similar,487
list,486
floor,486
compact,485
upgraded,484
weekend,483
rain,481
nearly,480
considered,479
audio,475
comparison,474
otherwise,474
stick,473
versa,473
eye,473
speaker,473
ask,472
quieter,471
competition,471
completely,470
strong,468
save,467
phone,466
chrome,465
lock,465
maxima,465
sit,464
blind,463
minute,462
bumper,462
whistle,461
smoother,461
rather,460
turned,460
dollar,459
rx,459
buick,458
annoying,455
scion,455
someone,454
clean,453
kept,453
sun,452
load,452
sensor,451
peppy,451
avg,450
pontiac,449
passat,449
bell,448
summer,448
passing,448
world,447
pas,447
windshield,447
tranny,446
advertised,445
travel,445
mustang,444
vue,442
trans,441
step,440
performs,440
tundra,439
player,438
number,438
acadia,438
soft,438
push,438
within,437
competitor,437
opinion,436
firm,434
support,432
stay,431
bose,431
display,431
remote,430
changed,430
consider,429
course,428
surprisingly,428
slightly,428
ownership,428
terrible,427
fan,426
baby,425
box,425
elantra,424
country,422
malibu,421
fusion,420
worst,420
cover,419
guess,419
white,419
near,418
horrible,418
maintenance,418
battery,417
seats,415
mean,413
combination,413
riding,412
son,412
efficient,411
local,411
difficult,409
heard,408
has,408
was,408
fill,406
bag,406
ease,404
entry,404
airbags,404
given,403
gauge,403
enjoyed,403
call,402
thinking,402
stock,401
daughter,401
provides,401
german,401
improve,399
to,399
water,395
company,395
based,394
refined,394
basic,393
bang,393
tacoma,393
economical,392
term,392
smoothly,390
broken,390
factor,389
japanese,388
bed,387
equipped,386
then,385
pressure,385
prior,385
gone,385
horsepower,385
researched,382
customer,380
faster,380
waiting,379
yr,379
unless,378
squeak,378
headlight,377
plan,377
hot,377
switch,377
everywhere,377
thousand,377
leak,376
explorer,376
voice,375
mention,374
total,374
street,372
ice,372
curve,372
working,372
sienna,371
sl,371
sentra,371
surprise,370
rim,370
clutch,370
often,370
tsx,368
everyday,368
spend,368
blow,367
hemi,366
stiff,366
she,366
reach,365
having,365
easier,365
compartment,365
replacement,364
joy,364
installed,364
radius,363
notice,363
priced,363
oh,362
handled,361
leased,361
comfy,361
favorite,361
ordered,361
spent,360
screen,360
hate,359
negative,359
wiper,359
ml,359
f,358
item,358
cheaper,357
reading,357
single,357
stopped,356
arm,356
sitting,355
worse,354
-speed,354
runner,353
reasonable,353
climate,353
winner,351
avalon,351
five,350
es,350
hatchback,350
exceptional,349
ls,348
stability,347
complain,347
hood,346
garage,346
some,346
stand,345
affordable,344
starting,344
response,343
tested,343
boat,342
weight,342
perfectly,342
together,342
shopping,340
smart,337
forester,336
fairly,335
mi,335
usually,335
hatch,335
nicer,335
....,333
onstar,333
dual,332
did,332
looks,332
comparable,332
ended,332
currently,331
commuter,331
gti,330
understand,329
station,328
somewhat,327
recall,326
bottom,326
edition,326
pep,326
dashboard,326
keyless,326
offered,325
fj,325
equipment,324
electric,324
man,324
mid,324
rabbit,323
pump,322
benz,321
gs,321
simple,321
rid,321
